title,author,duration
Tongue-Tied,By: Christina Lee,Length: 6 hrs and 35 mins
Master Class 4,"By: Virgil Knightley, Annabelle Hawthorne",Length: 11 hrs and 12 mins
North of Denton,By: C.J. Petit,Length: 9 hrs and 20 mins
Sons of Fenris,By: Lee Lightner,Length: 10 hrs and 52 mins
Mark of the Fool 6,By: J.M. Clarke,Length: 23 hrs and 3 mins
Saintess Summons Skeletons 2,By: Mornn,Length: 22 hrs and 53 mins
A Many-Threaded Tapestry,By: Olan Thorensen,Length: 24 hrs and 11 mins
Task Force Hammer,By: Craig Alanson,Length: 21 hrs and 40 mins
Radley's Christmas for Horny Monsters,By: Annabelle Hawthorne,Length: 25 hrs and 44 mins
Lelith Hesperax: Queen of Knives,By: Mike Brooks,Length: 5 hrs and 59 mins
The Dragon's Prophecy,By: Jonathan Cahn,Length: Not Yet Known
Kraken Mage,By: Robin Hutson,Length: 10 hrs and 41 mins
Mage Assassins & Other Misfits,"By: Annette Marie, Rob Jacobsen",Length: 7 hrs and 40 mins
The Mysterious Disappearance of Mr. Darcy,By: Kelly Miller,Length: 5 hrs and 39 mins
Rapid Weight Loss Hypnosis for Women: 2 in 1 Bundle,By: Alisha Kapani,Length: 16 hrs and 6 mins
Harmony,By: Alan Moria,Length: 14 hrs and 37 mins
Drumindor,By: Michael J. Sullivan,Length: 12 hrs and 45 mins
"My Secret Portal to a Fantasy World, Book 3",By: D. Levesque,Length: 10 hrs and 4 mins
Dungeon Core Guardians Omnibus: Books 1-3,"By: Jack Spry, Marcus Sloss",Length: 36 hrs and 42 mins
Lights Out,By: Navessa Allen,Length: 13 hrs and 38 mins
Herbal Tincture Mastery,By: Stephen H Sharp,Length: 4 hrs and 56 mins
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 12 hrs
Shameless,By: Brian Tyler Cohen,Length: 4 hrs and 38 mins
Faker,By: Kiki Clark,Length: 2 hrs and 45 mins
The Shadow Rising,By: Robert Jordan,Length: 40 hrs and 31 mins
Imminent,By: Luis Elizondo,Length: 10 hrs
Practical Adept,By: Terry Mancour,Length: 32 hrs and 57 mins
The Talented Daughters of Longbourn,By: Laraba Kendig,Length: 11 hrs and 8 mins
Baskets and Beignets,By: Jana DeLeon,Length: 9 hrs and 39 mins
Protocols,By: Andrew D. Huberman Ph.D.,Length: 10 hrs
Resistance,By: Sean Oswald,Length: 16 hrs and 40 mins
Armed with Good Intentions,By: Wallo267,Length: 6 hrs
Dungeon Life 3: An Isekai LitRPG,By: Khenal,Length: 20 hrs and 41 mins
Dino Tribes 2,By: Marcus Sloss,Length: 10 hrs and 2 mins
Paragon Exordium,By: Mikel Melwasul,Length: 24 hrs and 9 mins
Feral Outbreak: Oblivion,By: Sean Liscom,Length: 10 hrs and 7 mins
AI in Business,By: Sebastian Forbes,Length: 3 hrs and 30 mins
Never Never,"By: Colleen Hoover, Tarryn Fisher",Length: 9 hrs and 48 mins
The Empress of Beasts,By: pirateaba,Length: 30 hrs and 29 mins
Shepherds for Sale,By: Megan Basham,Length: 11 hrs and 22 mins
Herbal Tincture Mastery,By: Stephen H Sharp,Length: 4 hrs and 56 mins
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 12 hrs
Shameless,By: Brian Tyler Cohen,Length: 4 hrs and 38 mins
Faker,By: Kiki Clark,Length: 2 hrs and 45 mins
The Shadow Rising,By: Robert Jordan,Length: 40 hrs and 31 mins
Imminent,By: Luis Elizondo,Length: 10 hrs
Practical Adept,By: Terry Mancour,Length: 32 hrs and 57 mins
The Talented Daughters of Longbourn,By: Laraba Kendig,Length: 11 hrs and 8 mins
Baskets and Beignets,By: Jana DeLeon,Length: 9 hrs and 39 mins
Protocols,By: Andrew D. Huberman Ph.D.,Length: 10 hrs
Resistance,By: Sean Oswald,Length: 16 hrs and 40 mins
Armed with Good Intentions,By: Wallo267,Length: 6 hrs
Dungeon Life 3: An Isekai LitRPG,By: Khenal,Length: 20 hrs and 41 mins
Dino Tribes 2,By: Marcus Sloss,Length: 10 hrs and 2 mins
Paragon Exordium,By: Mikel Melwasul,Length: 24 hrs and 9 mins
Feral Outbreak: Oblivion,By: Sean Liscom,Length: 10 hrs and 7 mins
AI in Business,By: Sebastian Forbes,Length: 3 hrs and 30 mins
Never Never,"By: Colleen Hoover, Tarryn Fisher",Length: 9 hrs and 48 mins
The Empress of Beasts,By: pirateaba,Length: 30 hrs and 29 mins
Shepherds for Sale,By: Megan Basham,Length: 11 hrs and 22 mins
Herbal Tincture Mastery,By: Stephen H Sharp,Length: 4 hrs and 56 mins
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 12 hrs
Shameless,By: Brian Tyler Cohen,Length: 4 hrs and 38 mins
Faker,By: Kiki Clark,Length: 2 hrs and 45 mins
The Shadow Rising,By: Robert Jordan,Length: 40 hrs and 31 mins
Imminent,By: Luis Elizondo,Length: 10 hrs
Practical Adept,By: Terry Mancour,Length: 32 hrs and 57 mins
The Talented Daughters of Longbourn,By: Laraba Kendig,Length: 11 hrs and 8 mins
Baskets and Beignets,By: Jana DeLeon,Length: 9 hrs and 39 mins
Protocols,By: Andrew D. Huberman Ph.D.,Length: 10 hrs
Resistance,By: Sean Oswald,Length: 16 hrs and 40 mins
Armed with Good Intentions,By: Wallo267,Length: 6 hrs
Dungeon Life 3: An Isekai LitRPG,By: Khenal,Length: 20 hrs and 41 mins
