title,author,duration
Lelith Hesperax: Queen of Knives,By: Mike Brooks,Length: 5 hrs and 59 mins
Master Class 4,"By: Virgil Knightley, Annabelle Hawthorne",Length: 11 hrs and 12 mins
Tongue-Tied,By: Christina Lee,Length: 6 hrs and 35 mins
North of Denton,By: C.J. Petit,Length: 9 hrs and 20 mins
Mark of the Fool 6,By: J.M. Clarke,Length: 23 hrs and 3 mins
Saintess Summons Skeletons 2,By: Mornn,Length: 22 hrs and 53 mins
Task Force Hammer,By: Craig Alanson,Length: 21 hrs and 40 mins
Radley's Christmas for Horny Monsters,By: Annabelle Hawthorne,Length: 25 hrs and 44 mins
Sons of Fenris,By: Lee Lightner,Length: 10 hrs and 52 mins
Meant for Love,By: Natasha Madison,Length: 8 hrs and 19 mins
Kraken Mage,By: Robin Hutson,Length: 10 hrs and 41 mins
A Many-Threaded Tapestry,By: Olan Thorensen,Length: 24 hrs and 11 mins
Mage Assassins & Other Misfits,"By: Annette Marie, Rob Jacobsen",Length: 7 hrs and 40 mins
The Mysterious Disappearance of Mr. Darcy,By: Kelly Miller,Length: 5 hrs and 39 mins
Harmony,By: Alan Moria,Length: 14 hrs and 37 mins
Drumindor,By: Michael J. Sullivan,Length: 12 hrs and 45 mins
"My Secret Portal to a Fantasy World, Book 3",By: D. Levesque,Length: 10 hrs and 4 mins
Lights Out,By: Navessa Allen,Length: 13 hrs and 38 mins
Rapid Weight Loss Hypnosis for Women: 2 in 1 Bundle,By: Alisha Kapani,Length: 16 hrs and 6 mins
Herbal Tincture Mastery,By: Stephen H Sharp,Length: 4 hrs and 56 mins
