date,home_team,score,away_team
12-08-2023,Arsenal,02-Jan,Nott'm Forest
21-08-2023,Crystal Palace,0 - 1,Arsenal
26-08-2023,Arsenal,02-Feb,Fulham
03-09-2023,Arsenal,03-Jan,Man United
17-09-2023,Everton,0 - 1,Arsenal
24-09-2023,Arsenal,02-Feb,Tottenham
30-09-2023,Bournemouth,0 - 4,Arsenal
08-10-2023,Arsenal,1 - 0,Man City
21-10-2023,Chelsea,02-Feb,Arsenal
28-10-2023,Arsenal,5 - 0,Sheffield United
04-11-2023,Newcastle,1 - 0,Arsenal
11-11-2023,Arsenal,03-Jan,Burnley
25-11-2023,Brentford,0 - 1,Arsenal
02-12-2023,Arsenal,02-Jan,Wolves
05-12-2023,Luton,03-Apr,Arsenal
09-12-2023,Aston Villa,1 - 0,Arsenal
17-12-2023,Arsenal,2 - 0,Brighton
23-12-2023,Liverpool,01-Jan,Arsenal
28-12-2023,Arsenal,0 - 2,West Ham
31-12-2023,Fulham,02-Jan,Arsenal
20-01-2024,Arsenal,5 - 0,Crystal Palace
30-01-2024,Nott'm Forest,01-Feb,Arsenal
04-02-2024,Arsenal,03-Jan,Liverpool
11-02-2024,West Ham,0 - 6,Arsenal
17-02-2024,Burnley,0 - 5,Arsenal
24-02-2024,Arsenal,04-Jan,Newcastle
04-03-2024,Sheffield United,0 - 6,Arsenal
09-03-2024,Arsenal,02-Jan,Brentford
31-03-2024,Man City,0 - 0,Arsenal
03-04-2024,Arsenal,2 - 0,Luton
06-04-2024,Brighton,0 - 3,Arsenal
14-04-2024,Arsenal,0 - 2,Aston Villa
20-04-2024,Wolves,0 - 2,Arsenal
23-04-2024,Arsenal,5 - 0,Chelsea
28-04-2024,Tottenham,02-Mar,Arsenal
04-05-2024,Arsenal,3 - 0,Bournemouth
12-05-2024,Man United,0 - 1,Arsenal
19-05-2024,Arsenal,02-Jan,Everton
12-08-2023,Newcastle,05-Jan,Aston Villa
20-08-2023,Aston Villa,4 - 0,Everton
27-08-2023,Burnley,01-Mar,Aston Villa
03-09-2023,Liverpool,3 - 0,Aston Villa
16-09-2023,Aston Villa,03-Jan,Crystal Palace
