date,home_team,score,away_team
14-08-2023,Cadiz,1 - 0,Alaves
21-08-2023,Alaves,04-Mar,Sevilla
28-08-2023,Getafe,1 - 0,Alaves
02-09-2023,Alaves,1 - 0,Valencia
15-09-2023,Vallecano,2 - 0,Alaves
22-09-2023,Alaves,0 - 2,Ath Bilbao
28-09-2023,Celta,01-Jan,Alaves
01-10-2023,Alaves,0 - 2,Osasuna
08-10-2023,Alaves,01-Jan,Betis
22-10-2023,Villarreal,01-Jan,Alaves
29-10-2023,Ath Madrid,02-Jan,Alaves
05-11-2023,Alaves,1 - 0,Almeria
12-11-2023,Barcelona,02-Jan,Alaves
24-11-2023,Alaves,03-Jan,Granada
03-12-2023,Mallorca,0 - 0,Alaves
09-12-2023,Alaves,0 - 1,Las Palmas
18-12-2023,Girona,3 - 0,Alaves
21-12-2023,Alaves,0 - 1,Real Madrid
02-01-2024,Sociedad,01-Jan,Alaves
12-01-2024,Sevilla,02-Mar,Alaves
19-01-2024,Alaves,1 - 0,Cadiz
26-01-2024,Almeria,0 - 3,Alaves
03-02-2024,Alaves,01-Mar,Barcelona
10-02-2024,Alaves,01-Jan,Villarreal
18-02-2024,Betis,0 - 0,Alaves
24-02-2024,Alaves,01-Jan,Mallorca
04-03-2024,Osasuna,1 - 0,Alaves
10-03-2024,Alaves,1 - 0,Vallecano
16-03-2024,Ath Bilbao,2 - 0,Alaves
31-03-2024,Alaves,0 - 1,Sociedad
14-04-2024,Granada,2 - 0,Alaves
21-04-2024,Alaves,2 - 0,Ath Madrid
27-04-2024,Alaves,3 - 0,Celta
05-05-2024,Valencia,0 - 1,Alaves
10-05-2024,Alaves,02-Feb,Girona
14-05-2024,Real Madrid,5 - 0,Alaves
18-05-2024,Alaves,1 - 0,Getafe
26-05-2024,Las Palmas,01-Jan,Alaves
11-08-2023,Almeria,0 - 2,Vallecano
19-08-2023,Almeria,01-Mar,Real Madrid
26-08-2023,Cadiz,01-Jan,Almeria
01-09-2023,Almeria,02-Mar,Celta
17-09-2023,Villarreal,02-Jan,Almeria
23-09-2023,Almeria,02-Feb,Valencia
26-09-2023,Sevilla,05-Jan,Almeria
01-10-2023,Almeria,03-Mar,Granada
06-10-2023,Ath Bilbao,3 - 0,Almeria
22-10-2023,Girona,05-Feb,Almeria
28-10-2023,Almeria,01-Feb,Las Palmas
05-11-2023,Alaves,1 - 0,Almeria
11-11-2023,Almeria,01-Mar,Sociedad
25-11-2023,Getafe,02-Jan,Almeria
03-12-2023,Almeria,0 - 0,Betis
10-12-2023,Ath Madrid,02-Jan,Almeria
17-12-2023,Almeria,0 - 0,Mallorca
20-12-2023,Barcelona,03-Feb,Almeria
04-01-2024,Osasuna,1 - 0,Almeria
14-01-2024,Almeria,0 - 0,Girona
21-01-2024,Real Madrid,03-Feb,Almeria
26-01-2024,Almeria,0 - 3,Alaves
03-02-2024,Valencia,02-Jan,Almeria
12-02-2024,Almeria,0 - 0,Ath Bilbao
18-02-2024,Granada,01-Jan,Almeria
24-02-2024,Almeria,02-Feb,Ath Madrid
01-03-2024,Celta,1 - 0,Almeria
11-03-2024,Almeria,02-Feb,Sevilla
17-03-2024,Las Palmas,0 - 1,Almeria
30-03-2024,Almeria,0 - 3,Osasuna
14-04-2024,Sociedad,02-Feb,Almeria
21-04-2024,Almeria,01-Feb,Villarreal
27-04-2024,Almeria,01-Mar,Getafe
05-05-2024,Vallecano,0 - 1,Almeria
12-05-2024,Betis,03-Feb,Almeria
